sg_address1,sg_address2,sg_address3,zipcode
143 CECIL STREET,#03-01 GB BUILDING,SINGAPORE,069542
7500A BEACH ROAD,#11-301 THE PLAZA,SINGAPORE,199591
64 CECIL STREET,#03-03 IOB BUILDING,SINGAPORE,049711
BLK 301 UBI AVE 1,#01-277,SINGAPORE,400301
NO. 21 WOODLANDS CLOSE,#04-34 PRIMZ BIZHUB,SINGAPORE,737854
"20 MCCALLUM STREET,","TOKIO MARINE CENTRE, 15TH FLOOR,",SINGAPORE,069046
20 ANSON ROAD,#18-01 TWENTY ANSON,SINGAPORE,079912
10 MARINA BOULEVARD #16-03,#16-03 MARINA BAY FINANCIAL CENTRE TOWER 2,SINGAPORE,018983
12 HARPER ROAD,#05-00 SULISAM BUILDING,SINGAPORE,369677
24 RAFFLES PLACE,#24-02 CLIFFORD CENTRE,SINGAPORE,048621
101 CECIL STREET,#10-05 TONG ENG BUILDING,SINGAPORE,069533
50 COLLYER QUAY,#14-01 OUE BAYFRONT,SINGAPORE,049321
"LEVEL 38, ONE RAFFLES QUAY",NORTH TOWER,SINGAPORE,048583
203 HENDERSON ROAD,#12-11 (WING B) HENDERSON INDUSTRIAL PARK,SINGAPORE,159546
251 JALAN AHMAD IBRAHIM,,SINGAPORE,629146
10 EUNOS ROAD 8,#07-01,SINGAPORE,408600
2 CHANGI BUSINESS PARK CRESCENT,"#03-05A (LOBBY B), DBS ASIA HUB",SINGAPORE,486029
"MBC, 20 PASIR PANJANG ROAD",#08-00,SINGAPORE,117439
3 INTERNATIONAL BUSINESS PARK,#07-18 NORDIC EUROPEAN CENTRE,SINGAPORE,609927
1 TEMASEK AVENUE,#31-02 MILLENIA TOWER,SINGAPORE,039192
12 EU TONG SEN STREET,"#08-167, SOHO 2",SINGAPORE,059819
180 CECIL STREET,#09-02 BANGKOK BANK BUILDING,SINGAPORE,069546
22 BENOI SECTOR,,SINGAPORE,629854
27 CHANGI SOUTH STREET 1,,SINGAPORE,486071
10 HOE CHIANG ROAD,#20-03 KEPPEL TOWERS,SINGAPORE,089315
5 FOURTH LOK YANG ROAD,JURONG,SINGAPORE,629702
4 SHENTON WAY,#10-02 SGX CENTRE II,SINGAPORE,068807
80 RAFFLES PLACE,#09-00 UOB PLAZA 1,SINGAPORE,048624
16 COLLYER QUAY,#20-05,SINGAPORE,049318
315 OUTRAM ROAD,#02-09 TAN BOON LIAT BUILDING,SINGAPORE,169074
17 CHANGI BUSINESS PARK CENTRAL 1,HONEYWELL BUILDING,SINGAPORE,486073
3791 JALAN BUKIT MERAH #05-11,(E-CENTRE @ REDHILL ),SINGAPORE,159471
105 CECIL STREET,#16-03/04 THE OCTAGON,SINGAPORE,069534
"10 ANSON ROAD,","#20-16, INTERNATIONAL PLAZA",SINGAPORE,079903
3A INTERNATIONAL BUSINESS PARK,#07-10/18 ICON@IBP TOWER B,SINGAPORE,609935
285 JALAN AHMAD IBRAHIM,,SINGAPORE,639931
36 PRINSEP STREET,#04-01,SINGAPORE,188648
5 BEDOK SOUTH ROAD,,SINGAPORE,469270
31 PENJURU LANE,#02-01,SINGAPORE,609198
3 PHILLIP STREET,#11-04 ROYAL GROUP BUILDING,SINGAPORE,048693
12 MARINA BOULEVARD,#24-01 MARINA BAY FINANCE TOWER THREE,SINGAPORE,018982
200 CANTONMENT ROAD,#15-00 SOUTHPOINT,SINGAPORE,089763
17 TRACTOR ROAD,,SINGAPORE,627975
"73 UBI ROAD 1,",#10-48 OXLEY BIZHUB,SINGAPORE,408733
238A THOMSON ROAD,#13-03/05 NOVENA SQUARE TOWER A,SINGAPORE,307684
10 KAKI BUKIT ROAD 1,#03-13 KB INDUSTRIAL BUILDING,SINGAPORE,416175
78 SHENTON WAY,#17-01/02,SINGAPORE,079120
331 NORTH BRIDGE ROAD,#18-02 ODEON TOWERS,SINGAPORE,188720
#05-03 SOUTHPOINT,#10-00 SOUTHPOINT,SINGAPORE,089763
9 STRAITS VIEW #21-07,MARINA ONE WEST TOWER,SINGAPORE,018937
NRI SINGAPORE,"23 CHURCH STREET #09-09, CAPITAL SQUARE",SINGAPORE,049481
12 MARINA BOULEVARD,#33-03 MARINA BAY FINANCIAL CENTRE TOWER 3,SINGAPORE,018982
20 PASIR PANJANG ROAD EAST LOBBY,#14-21 MAPLETREE BUSINESS CITY,SINGAPORE,119439
6 SHENTON WAY,#14-08 OUE DOWNTOWN 2,SINGAPORE,068809
6 TEMASEK BOULEVARD,#17-03/04 SUNTEC TOWER 4,SINGAPORE,038986
6 JOO CHIAT TERRACE,,SINGAPORE,427180
438B ALEXANDRA ROAD,#05-08/10 ALEXANDRA TECHNOPARK,SINGAPORE,119968
21 BIOPOLIS ROAD,#05-21/27 NUCLEOS,SINGAPORE,138567
52 INTERNATIONAL ROAD,,SINGAPORE,619626
10 MARINA BOULEVARD,#19-01 MARINA BAY FINANCIAL CENTRE TOWER 2,SINGAPORE,018983
21 BUKIT BATOK CRESCENT,#27-79 WCEGA TOWER,SINGAPORE,658065
11 BIOPOLIS WAY,#10-03 HELIOS,SINGAPORE,138667
402 ORCHARD ROAD,#03-01 DELFI ORCHARD,SINGAPORE,238876
315 JALAN AHMAD IBRAHIM,,SINGAPORE,639940
23 CHURCH STREET #09-09,CAPITAL SQUARE,SINGAPORE,049481
10 TOH GUAN ROAD,HITACHI ELEVATOR BUILDING,SINGAPORE,608597
1003 BUKIT MERAH CENTRAL,#07-14,SINGAPORE,159836
NO 2 GUL CIRCLE,SINGAPORE,SINGAPORE,629560
4 GUL WAY,JURONG,SINGAPORE,629192
11 TUAS SOUTH AVENUE 12,,SINGAPORE,638615
896 DUNEARN ROAD,#03-05,SINGAPORE,589472
9 NORTH BUONA VISTA DRIVE,"#05-01, THE METROPOLIS TOWER 1",SINGAPORE,138588
12 AYER RAJAH CRESCENT,,SINGAPORE,139941
"9 RAFFLES PLACE #26-01,",REPUBLIC PLAZA,SINGAPORE,048619
63 MARKET STREET,22-00 BANK OF SINGAPORE CENTRE,SINGAPORE,048942
1 RAFFLES QUAY,#20-01 NORTH TOWER ONE RAFFLES,SINGAPORE,048583
9 RAFFLES PLACE,12-01 REPUBLIC PLAZA,SINGAPORE,048619
1 RAFFLES LINK,#05-02,SINGAPORE,039393
10 MARINA BOULEVARD,#32-01 MARINA BAY FINANCIAL CENTRE TOWER 2,SINGAPORE,018983
50 RAFFLES PLACE,#24-01 SINGAPORE LAND TOWER,SINGAPORE,048623
1 RAFFLES QUAY,#18-00 NORTH TOWER,SINGAPORE,048583
1 TEMASEK AVENUE,#02-01 MILLENIA TWR,SINGAPORE,039192
1 RAFFLES QUAY,#50-01 NORTH TOWER,SINGAPORE,048583
21 CHURCH STREET,#01-01 CAPITAL SQ 2,SINGAPORE,049480
80 TUAS WEST DRIVE,,SINGAPORE,638417
18 TAI SENG STREET,#08-08,SINGAPORE,539775
108 NEMESU AVENUE,,SINGAPORE,576336
10 ANSON ROAD INTERNATIONAL PLAZA,#27-15,SINGAPORE,079903
"21 WOODLANDS CLOSE,",#08-28 PRIMZ BIZHUB,SINGAPORE,737854
65 CHULIA STREET,#18-01 OCBC CENTRE,SINGAPORE,049513
25 NORTH BRIDGE ROAD,#07-00 EFG BANK BUILDING,SINGAPORE,179104
80 RAFFLES PLACE,#46-01 UOB PLAZA 1,SINGAPORE,048624
"28 MAXWELL ROAD,","#03-01 MAXWELL CHAMBERS SUITES,",SINGAPORE,069120
